"Daily Deals", "Daily Deals"
"Today's Deals", "Today's Deals"
"Comming Deals", "Comming Deals"
"Previous Deals", "Previous Deals"
"Price:", "Price:"
"Value:", "Value:"
"Save:", "Save:"
"Time Left", "Time Left"
"Time to start", "Time to start"
"There are only %s item(s)!", "There are only %s item(s)!"
"Buy Now", "Buy Now"
"Share the love", "Share the love"
"Tweet", "Tweet"
"There are no deals available.", "There are no deals available."
"Today Deals", "Today Deals"
"Price:", "Price:"
"Add to Cart", "Add to Cart"
"Deal Time", "Deal Time"
"There are only %s item(s)!", "There are only %s item(s)!"
"Daily Deal Subscription", "Daily Deal Subscription"
"Get notified of daily deals", "Get notified of daily deals"
"Your Name:", "Your Name:"
"Your Email:", "Your Email:"
"There was already a subscriber with this email. Please use another email.", "There was already a subscriber with this email. Please use another email."
"There was a problem with your unsubscription. Please try again.", "There was a problem with your unsubscription. Please try again."
"You have unsubscribed successfully. Thank you!", "You have unsubscribed successfully. Thank you!"